attack_techniques_id,engage_activity_id
T1001,EAC0014
T1001,EAC0015
T1001,EAC0004
T1003,EAC0005
T1003,EAC0011
T1003,EAC0005
T1003,EAC0003
T1003,EAC0005
T1003,EAC0005
T1003,EAC0005
T1005,EAC0015
T1005,EAC0008
T1005,EAC0011
T1005,EAC0015
T1005,EAC0005
T1005,EAC0014
T1005,EAC0018
T1005,EAC0015
T1006,EAC0014
T1007,EAC0005
T1007,EAC0001
T1007,EAC0014
T1007,EAC0015
T1007,EAC0011
T1007,EAC0005
T1007,EAC0015
T1007,EAC0001
T1007,EAC0014
T1008,EAC0002
T1008,EAC0018
T1008,EAC0016
T1008,EAC0016
T1008,EAC0002
T1010,EAC0015
T1010,EAC0011
T1010,EAC0006
T1011,EAC0004
T1011,EAC0015
T1011,EAC0016
T1011,EAC0002
T1011,EAC0016
T1011,EAC0002
T1011,EAC0018
T1011,EAC0005
T1011,EAC0005
T1012,EAC0005
T1012,EAC0008
T1012,EAC0011
T1012,EAC0005
T1012,EAC0014
T1014,EAC0018
T1014,EAC0019
T1014,EAC0018
T1016,EAC0005
T1016,EAC0015
T1016,EAC0008
T1016,EAC0011
T1016,EAC0005
T1016,EAC0015
T1016,EAC0001
T1016,EAC0014
T1018,EAC0005
T1018,EAC0011
T1018,EAC0005
T1018,EAC0014
T1018,EAC0005
T1018,EAC0007
T1018,EAC0016
T1020,EAC0004
T1020,EAC0015
T1020,EAC0016
T1020,EAC0002
T1020,EAC0016
T1020,EAC0002
T1020,EAC0018
T1020,EAC0011
T1020,EAC0005
T1020,EAC0005
T1021,EAC0002
T1021,EAC0005
T1021,EAC0005
T1021,EAC0006
T1021,EAC0016
T1025,EAC0015
T1025,EAC0011
T1025,EAC0015
T1025,EAC0005
T1025,EAC0010
T1027,EAC0005
T1027,EAC0015
T1027,EAC0014
T1027,EAC0013
T1029,EAC0004
T1029,EAC0015
T1029,EAC0016
T1029,EAC0002
T1029,EAC0016
T1029,EAC0002
T1029,EAC0018
T1029,EAC0005
T1029,EAC0005
T1030,EAC0015
T1030,EAC0016
T1030,EAC0002
T1030,EAC0016
T1030,EAC0002
T1030,EAC0018
T1030,EAC0005
T1030,EAC0005
T1033,EAC0005
T1033,EAC0011
T1033,EAC0012
T1033,EAC0005
T1033,EAC0005
T1033,EAC0014
T1033,EAC0001
T1036,EAC0003
T1037,EAC0019
T1039,EAC0015
T1039,EAC0011
T1039,EAC0015
T1039,EAC0005
T1039,EAC0018
T1039,EAC0015
T1039,EAC0016
T1040,EAC0005
T1040,EAC0011
T1040,EAC0005
T1040,EAC0014
T1040,EAC0005
T1040,EAC0007
T1040,EAC0016
T1041,EAC0004
T1041,EAC0015
T1041,EAC0016
T1041,EAC0002
T1041,EAC0016
T1041,EAC0002
T1041,EAC0018
T1041,EAC0005
T1041,EAC0005
T1046,EAC0005
T1046,EAC0011
T1046,EAC0005
T1046,EAC0014
T1046,EAC0005
T1046,EAC0007
T1046,EAC0016
T1047,EAC0015
T1047,EAC0011
T1047,EAC0013
T1047,EAC0015
T1047,EAC0005
T1047,EAC0018
T1047,EAC0014
T1047,EAC0018
T1048,EAC0004
T1048,EAC0015
T1048,EAC0016
T1048,EAC0002
T1048,EAC0016
T1048,EAC0002
T1048,EAC0018
T1048,EAC0005
T1048,EAC0005
T1049,EAC0015
T1049,EAC0005
T1049,EAC0011
T1049,EAC0008
T1049,EAC0005
T1049,EAC0015
T1049,EAC0001
T1049,EAC0014
T1052,EAC0004
T1052,EAC0010
T1052,EAC0010
T1052,EAC0015
T1052,EAC0016
T1052,EAC0002
T1052,EAC0016
